,wid,age,country,gender,marital,parenthood,hmid,reflection_period,original_hm,cleaned_hm,modified,num_sentence,ground_truth_category,predicted_category,value
3228,345,41,USA,m,married,y,37781,24h,Took my Children to the aquarium yesterday.,Took my Children to the aquarium yesterday.,True,1,affection,affection,1
3229,345,41,USA,m,married,y,40769,24h,Had a relaxing afternoon playing with my kids.,Had a relaxing afternoon playing with my kids.,True,1,affection,affection,1
3231,345,41,USA,m,married,y,67612,3m,Set up a large swing for my kids to play on.,Set up a large swing for my kids to play on.,True,1,affection,affection,1
3232,345,41,USA,m,married,y,71612,3m,Enjoyed Easter with my family.,Enjoyed Easter with my family.,True,1,affection,affection,1
3233,345,41,USA,m,married,y,78443,3m,"Saw a movie with my wife, without children ","Saw a movie with my wife, without children ",True,1,affection,affection,1
3234,345,41,USA,m,married,y,81611,3m,Watched a movie at home with my wife,Watched a movie at home with my wife,True,1,affection,affection,1
3273,350,36,USA,m,married,y,98891,3m,"In morning making a breakfast for the kids and when they say dad you are  great, this always  makes me happy. ","In morning making a breakfast for the kids and when they say dad you are  great, this always  makes me happy. ",True,1,affection,affection,1
3334,357,26,USA,m,married,n,80273,3m,I took my dogs to the dog park.,I took my dogs to the dog park.,True,1,affection,affection,1
3335,357,26,USA,m,married,n,84324,3m,I had dinner with my wife.,I had dinner with my wife.,True,1,affection,affection,1
3337,357,26,USA,m,married,n,88763,3m,I went to the beach with my wife.,I went to the beach with my wife.,True,1,affection,affection,1
3339,357,26,USA,m,married,n,93288,3m,I took my dogs to the dog park.,I took my dogs to the dog park.,True,1,affection,affection,1
3340,357,26,USA,m,married,n,96296,3m,I took my dogs to the dog park.,I took my dogs to the dog park.,True,1,affection,affection,1
3342,357,26,USA,m,married,n,107302,3m,I played games with my brother.,I played games with my brother.,True,1,affection,affection,1
3344,357,26,USA,m,married,n,112255,24h,I took my dogs to the dog park.,I took my dogs to the dog park.,True,1,affection,affection,1
3347,357,26,USA,m,married,n,124289,24h,Having dinner with my wife.,Having dinner with my wife.,True,1,affection,affection,1
3354,359,40,USA,f,married,y,29100,24h,My husband told me I didn't have to cook. He is getting food on the way home from work.,My husband told me I didn't have to cook. He is getting food on the way home from work.,True,2,affection,affection,1
3355,359,40,USA,f,married,y,36673,24h,My husband and I had a date afternoon yesterday.,My husband and I had a date afternoon yesterday.,True,1,affection,affection,1
3356,359,40,USA,f,married,y,100373,3m,My husband got a good report on some medical tests.,My husband got a good report on some medical tests.,True,1,affection,affection,1
3359,360,31,USA,m,married,y,64500,3m,My wife bought me a pair of t-shirts for valentines.,My wife bought me a pair of t-shirts for valentines.,True,1,affection,affection,1
3360,360,31,USA,m,married,y,73409,3m,My daughter's molar teeth have started growing and she can now eat more solid food.,My daughter's molar teeth have started growing and she can now eat more solid food.,True,1,affection,affection,1
3361,360,31,USA,m,married,y,82166,3m,My mum was released from the hospital after being admitted for stomach flu,My mum was released from the hospital after being admitted for stomach flu,True,1,affection,affection,1
3362,360,31,USA,m,married,y,114302,24h,My wife bought me a new shirt last week,My wife bought me a new shirt last week,True,1,affection,affection,1
3363,360,31,USA,m,married,y,128392,24h,My daughter made me laugh so hard for uttering a word in a funny way.It was so hilarious.,My daughter made me laugh so hard for uttering a word in a funny way.It was so hilarious.,True,1,affection,affection,1
3394,365,30,USA,m,married,y,71427,3m,when my 2nd child started to talk ,when my 2nd child started to talk ,True,1,affection,affection,1
3395,365,30,USA,m,married,y,80619,3m,Going for a walk with the family.,Going for a walk with the family.,True,1,affection,affection,1
3399,366,34,USA,f,married,y,49723,24h,I was happy when I was watching a movie with my kid and spending quality time together.,I was happy when I was watching a movie with my kid and spending quality time together.,True,1,affection,affection,1
3401,366,34,USA,f,married,y,85424,3m,I was happy when my kid handed my an early Mother's Day card.,I was happy when my kid handed my an early Mother's Day card.,True,1,affection,affection,1
3459,375,30,USA,f,married,y,55240,24h,"I took the boys for a walk to the park and my oldest rode his bike, and listened the whole time!","I took the boys for a walk to the park and my oldest rode his bike, and listened the whole time!",True,1,affection,affection,1
3460,375,30,USA,f,married,y,75171,3m,my son graduated his second year of preschool.,my son graduated his second year of preschool.,True,1,affection,affection,1
3461,375,30,USA,f,married,y,82309,3m,"My youngest has started saying ""happy""","My youngest has started saying ""happy""",True,1,affection,affection,1
3463,375,30,USA,f,married,y,89259,3m,I was able to find Lamb for dinner tonight with my grandparents.,I was able to find Lamb for dinner tonight with my grandparents.,True,1,affection,affection,1
3464,375,30,USA,f,married,y,92097,3m,My grandparents just got here from the UK to visit.,My grandparents just got here from the UK to visit.,True,1,affection,affection,1
3466,375,30,USA,f,married,y,106758,3m,I had a night away from the children this past weekend.,I had a night away from the children this past weekend.,True,1,affection,affection,1
3514,383,66,USA,m,married,y,39237,24h,I went at the park with my niece,I went at the park with my niece,True,1,affection,affection,1
3515,383,66,USA,m,married,y,40236,24h,"I was at casino with my wife, and had a very good evening there","I was at casino with my wife, and had a very good evening there",True,1,affection,affection,1
3519,383,66,USA,m,married,y,71430,3m,I meet my son grilfriend,I meet my son girlfriend,False,1,affection,affection,1
3523,383,66,USA,m,married,y,90904,3m,I meet my nephew after some years,I meet my nephew after some years,True,1,affection,affection,1
3525,383,66,USA,m,married,y,93000,3m,I meet my niece,I meet my niece,True,1,affection,affection,1
3573,389,61,USA,f,married,y,27923,24h,My daughter visited me at evening,My daughter visited me at evening,True,1,affection,affection,1
3574,389,61,USA,f,married,y,45297,24h,I meet my son and ate a lunch with him,I meet my son and ate a lunch with him,True,1,affection,affection,1
3575,389,61,USA,f,married,y,83193,3m,I meet my daughter special one,I meet my daughter special one,True,1,affection,affection,1
3576,389,61,USA,f,married,y,89903,3m,I meet my son girlfriend,I meet my son girlfriend,True,1,affection,affection,1
3586,391,36,USA,m,married,n,73462,3m,My husband carried me to the bedroom. It made me happy because I recently sprained my ankle. I though it was a romantic gesture.,My husband carried me to the bedroom. It made me happy because I recently sprained my ankle. I though it was a romantic gesture.,True,3,affection,affection,1
3588,391,36,USA,m,married,n,85889,3m,I found my cat curled up and sleeping in the bathroom sink last night.,I found my cat curled up and sleeping in the bathroom sink last night.,True,1,affection,affection,1
3590,391,36,USA,m,married,n,96650,3m,The cashier at Walmart gave my wife's and my donuts for free because he said he didn't feel like ringing them up.,The cashier at Walmart gave my wife's and my donuts for free because he said he didn't feel like ringing them up.,True,1,affection,affection,1
3591,391,36,USA,m,married,n,99637,3m,My cat carried four of his toys into the bedroom last night as a way to wake us up and play with him.,My cat carried four of his toys into the bedroom last night as a way to wake us up and play with him.,True,1,affection,affection,1
3599,392,49,USA,f,married,y,120097,24h,We made our son happy by telling him we will start an allowance program for him.,We made our son happy by telling him we will start an allowance program for him.,True,1,affection,affection,1
3601,393,41,USA,f,married,y,38165,24h,Watching my kids play basketball and laughing together for over an hour after they've been not getting along all morning.,Watching my kids play basketball and laughing together for over an hour after they've been not getting along all morning.,True,1,affection,affection,1
3602,393,41,USA,f,married,y,40163,24h,"My husband finally did something on the ""honey-do"" list that I've been asking him to do for two weeks.","My husband finally did something on the ""honey-do"" list that I've been asking him to do for two weeks.",True,1,affection,affection,1
3605,393,41,USA,f,married,y,81674,3m,My 12 year old son gave me an unsolicited hug,My 12 year old son gave me an unsolicited hug,True,1,affection,affection,1
3607,393,41,USA,f,married,y,87801,3m,I walked in the house after a long day full of hard clients and my 14 year old dog was so happy to see me it made me forget about my day.,I walked in the house after a long day full of hard clients and my 14 year old dog was so happy to see me it made me forget about my day.,True,1,affection,affection,1
3681,402,26,USA,m,married,n,28107,24h,Meeting up with my girlfriend at the park and just talking.,Meeting up with my girlfriend at the park and just talking.,True,1,affection,affection,1
3682,402,26,USA,m,married,n,73498,3m,Seeing someone I love find someone that truly cares about them and seeing him smile like never before.,Seeing someone I love find someone that truly cares about them and seeing him smile like never before.,True,1,affection,affection,1
3686,403,31,USA,m,married,n,37818,24h,I had intimate moments with my wife earlier this morning.,I had intimate moments with my wife earlier this morning.,True,1,affection,affection,1
3688,403,31,USA,m,married,n,94698,3m,"Today, I helped my wife save a bunch of money by finding a better deal online for her.","Today, I helped my wife save a bunch of money by finding a better deal online for her.",True,1,affection,affection,1
3689,403,31,USA,m,married,n,95698,3m,"Today, I ate some great pasta salad my wife made specifically for me.","Today, I ate some great pasta salad my wife made specifically for me.",True,1,affection,affection,1
3692,403,31,USA,m,married,n,126219,24h,"My wife and I found a new store in Bay City, MI.","My wife and I found a new store in Bay City, MI.",True,1,affection,affection,1
3732,411,38,USA,m,married,y,53450,24h,My youngest son was playing on the playground and was so happy that I helped him reach a higher object.,My youngest son was playing on the playground and was so happy that I helped him reach a higher object.,True,1,affection,affection,1
3733,411,38,USA,m,married,y,82451,3m,My youngest son woke me up by coming into my room and telling me proudly that he slept in his bed all night long.,My youngest son woke me up by coming into my room and telling me proudly that he slept in his bed all night long.,True,1,affection,affection,1
3734,411,38,USA,m,married,y,127037,24h,My youngest son gave my oldest son a big hug and said sorry after scratching him.,My youngest son gave my oldest son a big hug and said sorry after scratching him.,True,1,affection,affection,1
3739,413,29,USA,m,married,y,49657,24h,I was able to get to bed really early after my daughter had fallen asleep.,I was able to get to bed really early after my daughter had fallen asleep.,True,1,affection,affection,1
3740,413,29,USA,m,married,y,59447,3m,I went on a brewery bus with my wife and some friends and visited 4 breweries around Indianapolis.,I went on a brewery bus with my wife and some friends and visited 4 breweries around Indianapolis.,True,1,affection,affection,1
3741,413,29,USA,m,married,y,62443,3m,I was able to get my daughter to giggle a whole bunch while playing with her.,I was able to get my daughter to giggle a whole bunch while playing with her.,True,1,affection,affection,1
3742,413,29,USA,m,married,y,67888,3m,My daughter began to sit up on her own and talks a lot more.,My daughter began to sit up on her own and talks a lot more.,True,1,affection,affection,1
3792,419,40,USA,m,married,y,83748,3m,I watched a Star Wars movie with my young nephew and he was really into it.,I watched a Star Wars movie with my young nephew and he was really into it.,True,1,affection,affection,1
3822,423,29,USA,f,married,n,79887,3m,My husband brought home sushi for our engagement anniversary.,My husband brought home sushi for our engagement anniversary.,True,1,affection,affection,1
3824,423,29,USA,f,married,n,95038,3m,My cat looked so adorable that it made me extremely happy.,My cat looked so adorable that it made me extremely happy.,True,1,affection,affection,1
3826,423,29,USA,f,married,n,104926,3m,I cuddled with my cat last night.,I cuddled with my cat last night.,True,1,affection,affection,1
3830,424,30,USA,o,married,y,67433,3m,I went to my sons party.,I went to my sons party.,True,1,affection,affection,1
3833,424,30,USA,o,married,y,90068,3m,My dog and I had a fun walk.,My dog and I had a fun walk.,True,1,affection,affection,1
3873,430,26,USA,f,married,y,41783,24h,Making breakfast for my family and some friends.,Making breakfast for my family and some friends.,True,1,affection,affection,1
3875,430,26,USA,f,married,y,86881,3m,Going on a date with my husband to a nice restaurant we have always wanted to go.,Going on a date with my husband to a nice restaurant we have always wanted to go.,True,1,affection,affection,1
3889,432,47,USA,m,married,y,70099,3m,Coaching my daughter's last basketball game this year brought me joy. ,Coaching my daughter's last basketball game this year brought me joy. ,True,1,affection,affection,1
3890,432,47,USA,m,married,y,79454,3m,Watching the pure joy on my daughter's face as one of her best friends slept over the night.  ,Watching the pure joy on my daughter's face as one of her best friends slept over the night.  ,True,1,affection,affection,1
3891,432,47,USA,m,married,y,90447,3m,Our family vacation to Maui this summer is all paid for. ,Our family vacation to Maui this summer is all paid for. ,True,1,affection,affection,1
3893,432,47,USA,m,married,y,95717,3m,I spent a few hours with my family doing yard work on our first beautiful day of Spring.  ,I spent a few hours with my family doing yard work on our first beautiful day of Spring.  ,True,1,affection,affection,1
3894,432,47,USA,m,married,y,110851,24h,I had a great lunch with my daughter and a few of her friends last weekend.  ,I had a great lunch with my daughter and a few of her friends last weekend.  ,True,1,affection,affection,1
3953,441,29,USA,f,married,n,42566,24h,My sister got me a second-hand drum set that was posted for free on a community listserv page.,My sister got me a second-hand drum set that was posted for free on a community listserv page.,True,1,affection,affection,1
3955,441,29,USA,f,married,n,50919,24h,I went on a very long walk with my dogs in the pleasant sun.,I went on a very long walk with my dogs in the pleasant sun.,True,1,affection,affection,1
4003,447,55,USA,f,married,y,81152,3m,My husband and I watched a movie together.,My husband and I watched a movie together.,True,1,affection,affection,1
4010,447,55,USA,f,married,y,124486,24h,My parents took me out to eat at a nice asian restaurant.,My parents took me out to eat at a nice asian restaurant.,True,1,affection,affection,1
4023,450,39,USA,m,married,n,36121,24h,My wife and I purchased some nice gifts for our parents.,My wife and I purchased some nice gifts for our parents.,True,1,affection,affection,1
4025,450,39,USA,m,married,n,46320,24h,My wife and I watched a series finale of a good show on tv.,My wife and I watched a series finale of a good show on tv.,True,1,affection,affection,1
4029,450,39,USA,m,married,n,81259,3m,My dog entered a breed competition and won 1st place.,My dog entered a breed competition and won 1st place.,True,1,affection,affection,1
4031,450,39,USA,m,married,n,86302,3m,I bought my wife a new purse and earrings.,I bought my wife a new purse and earrings.,True,1,affection,affection,1
4033,450,39,USA,m,married,n,109441,24h,"Yesterday, I walked 3 miles with my wife.","Yesterday, I walked 3 miles with my wife.",True,1,affection,affection,1
4034,450,39,USA,m,married,n,111441,24h,I had dinner with my wife and watched tv.,I had dinner with my wife and watched tv.,True,1,affection,affection,1
4043,452,52,USA,m,married,y,97893,3m,Watching my daughter play soccer today.  She had a reat time.,Watching my daughter play soccer today.  She had a great time.,False,2,affection,affection,1
4044,452,52,USA,m,married,y,102378,3m,My oldest daughter helping my youngest daughter with her homework.,My oldest daughter helping my youngest daughter with her homework.,True,1,affection,affection,1
4089,461,61,USA,f,married,y,34745,24h,My husband and I went out for dinner and then decided to come home instead of going to a movie that neither of us was interested in.,My husband and I went out for dinner and then decided to come home instead of going to a movie that neither of us was interested in.,True,1,affection,affection,1
4091,461,61,USA,f,married,y,46611,24h,We got to Facetime with our grandchild and watch him play a new game with his daddy.,We got to Facetime with our grandchild and watch him play a new game with his daddy.,True,1,affection,affection,1
4092,461,61,USA,f,married,y,91881,3m,I was happy when I was able to book and pay for the flight to California for my niece's wedding. ,I was happy when I was able to book and pay for the flight to California for my niece's wedding. ,True,1,affection,affection,1
4094,461,61,USA,f,married,y,93881,3m,I was happy to find out that our son is almost finished with his doctorate degree. We didn't even know that he was working on it!,I was happy to find out that our son is almost finished with his doctorate degree. We didn't even know that he was working on it!,True,2,affection,affection,1
4095,462,47,USA,m,married,y,49882,24h,I watched my daughter dance yesterday at class.,I watched my daughter dance yesterday at class.,True,1,affection,affection,1
4096,462,47,USA,m,married,y,50882,24h,I enjoyed a wonderful dinner out with my sister and mother. ,I enjoyed a wonderful dinner out with my sister and mother. ,True,1,affection,affection,1
4099,462,47,USA,m,married,y,79555,3m,I helped my Mom and sister shop for furniture this weekend.  ,I helped my Mom and sister shop for furniture this weekend.  ,True,1,affection,affection,1
4108,463,49,USA,m,married,y,102765,3m,Went to the beach and looked for seaglass with my daughters one sunday.,Went to the beach and looked for seaglass with my daughters one sunday.,True,1,affection,affection,1
4137,468,40,USA,m,married,y,50676,24h,My kids went to bed without a fight tonight.,My kids went to bed without a fight tonight.,True,1,affection,affection,1
4138,468,40,USA,m,married,y,51676,24h,My wife was super nice to me tonight.,My wife was super nice to me tonight.,True,1,affection,affection,1
4152,470,33,USA,f,married,y,70762,3m,I went shopping and splurged on myself and children.,I went shopping and splurged on myself and children.,True,1,affection,affection,1
4153,470,33,USA,f,married,y,80717,3m,My youngest climbed four stairs all on his own.,My youngest climbed four stairs all on his own.,True,1,affection,affection,1
4155,470,33,USA,f,married,y,102725,3m,I went for a nice walk with my youngest.,I went for a nice walk with my youngest.,True,1,affection,affection,1
4156,470,33,USA,f,married,y,106709,3m,My boyfriend and I played video games all this weekend together.,My boyfriend and I played video games all this weekend together.,True,1,affection,affection,1
4186,474,58,USA,f,married,y,45102,24h,I am suppose to visit my daughter and her 7 children tomorrow and something usually comes up on her end where I cannot visit.  She texted me earlier that they do have plans for tomorrow but I am still welcome to come out and visit!,I am suppose to visit my daughter and her 7 children tomorrow and something usually comes up on her end where I cannot visit.  She texted me earlier that they do have plans for tomorrow but I am still welcome to come out and visit!,True,2,affection,affection,1
4189,474,58,USA,f,married,y,96108,3m,I heard from all 3 of my children on mother's day.,I heard from all 3 of my children on mother's day.,True,1,affection,affection,1
4193,474,58,USA,f,married,y,112136,24h,"The last small thing that made me surprisingly happy was spending time with my grandma.I went through a phase in my life where I wanted complete autonomy from my family. I felt crushed by the pressures of trying to pursue a career my family wanted from me rather than one I wanted for myself. So, I just wanted to break free from all of them and be as far away as I possibly could, even my grandma whom has been there for me every day for the first 12 years of my life.It wasn't until lately, that I realized the importance of family and how short life can be. My grandma is 96 years old, which means she has a limited time left on this beautiful planet. It made me really sad that I haven't made much effort to really spend time with her ever since she moved to her own home. Instead of spending my weekends with her, I chose to go out with friends, date around, sit at home on the computer browsing new music, and basically just waste my time.This weekend, I decided to change that. I called her and spent the entire day with her. Sunday morning, I came to her house, cooked us some pancakes (her favorite), we went to Temple, just like we did when I was a kid, and then we spent the rest of the day at the mall, browsing the stores. I didn't expect it to make me as happy as I had planned, but it really made my day. I'm really glad I did that and I certainly plan to spend a lot more time with her now.","The last small thing that made me surprisingly happy was spending time with my grandma.I went through a phase in my life where I wanted complete autonomy from my family. I felt crushed by the pressures of trying to pursue a career my family wanted from me rather than one I wanted for myself. So, I just wanted to break free from all of them and be as far away as I possibly could, even my grandma whom has been there for me every day for the first 12 years of my life.It wasn't until lately, that I realized the importance of family and how short life can be. My grandma is 96 years old, which means she has a limited time left on this beautiful planet. It made me really sad that I haven't made much effort to really spend time with her ever since she moved to her own home. Instead of spending my weekends with her, I chose to go out with friends, date around, sit at home on the computer browsing new music, and basically just waste my time.This weekend, I decided to change that. I called her and spent the entire day with her. Sunday morning, I came to her house, cooked us some pancakes (her favorite), we went to Temple, just like we did when I was a kid, and then we spent the rest of the day at the mall, browsing the stores. I didn't expect it to make me as happy as I had planned, but it really made my day. I'm really glad I did that and I certainly plan to spend a lot more time with her now.",True,10,affection,affection,1
4215,478,37,USA,m,married,y,90468,3m,My youngest daughter used the potty for the first time. ,My youngest daughter used the potty for the first time. ,True,1,affection,affection,1
4217,478,37,USA,m,married,y,99441,3m,I woke up early and make breakfast for my wife and kids one Saturday morning. ,I woke up early and make breakfast for my wife and kids one Saturday morning. ,True,1,affection,affection,1
4219,478,37,USA,m,married,y,104499,3m,My wife got a new client for her side business which helped us out financially. ,My wife got a new client for her side business which helped us out financially. ,True,1,affection,affection,1
4220,478,37,USA,m,married,y,105498,3m,My 5 year old daughter had her preschool graduation ceremony. ,My 5 year old daughter had her preschool graduation ceremony. ,True,1,affection,affection,1
4251,486,34,USA,m,married,y,44074,24h,My wife baked cookies for dessert tonight.,My wife baked cookies for dessert tonight.,True,1,affection,affection,1
4253,486,34,USA,m,married,y,64970,3m,My daughter and I went to the park together and I pushed her on the swing.,My daughter and I went to the park together and I pushed her on the swing.,True,1,affection,affection,1
4254,486,34,USA,m,married,y,69582,3m,My mother-in-law is coming to visit to see my daughter for an entire week.,My mother-in-law is coming to visit to see my daughter for an entire week.,True,1,affection,affection,1
4256,486,34,USA,m,married,y,102674,3m,My wife woke me up with a kiss in the morning.,My wife woke me up with a kiss in the morning.,True,1,affection,affection,1
4308,493,39,USA,m,married,y,78160,3m,"My neighbor got an adorable puppy, and I held it and played with it, it is so cute.","My neighbor got an adorable puppy, and I held it and played with it, it is so cute.",True,1,affection,affection,1
4399,506,40,USA,m,married,y,49906,24h,I got to play with my baby daughter and make her laugh.,I got to play with my baby daughter and make her laugh.,True,1,affection,affection,1
4400,506,40,USA,m,married,y,71654,3m,My baby daughter said her first words.,My baby daughter said her first words.,True,1,affection,affection,1
4403,506,40,USA,m,married,y,108641,3m,Went strawberry picking with the family,Went strawberry picking with the family,True,1,affection,affection,1
4406,508,35,USA,f,married,y,66388,3m,"I found a photographer to take maternity photos for me, and I talked my husband into booking her since she had an opening.","I found a photographer to take maternity photos for me, and I talked my husband into booking her since she had an opening.",True,1,affection,affection,1
4408,508,35,USA,f,married,y,108224,3m,"I made a delicious dinner that was time-consuming, but my whole family loved it.","I made a delicious dinner that was time-consuming, but my whole family loved it.",True,1,affection,affection,1
4414,510,47,USA,f,married,n,58523,3m,"When I found out that my mom did not need heart surgery, I was very happy!","When I found out that my mom did not need heart surgery, I was very happy!",True,1,affection,affection,1
4419,510,47,USA,f,married,n,111834,24h,"I played with my dogs last night, which is something that always makes me happy.","I played with my dogs last night, which is something that always makes me happy.",True,1,affection,affection,1
4420,510,47,USA,f,married,n,113551,24h,"I had lunch with my parents today, and it was nice just catching up with them.","I had lunch with my parents today, and it was nice just catching up with them.",True,1,affection,affection,1
4433,513,41,USA,m,married,y,59442,3m,My daughter has started to walk.,My daughter has started to walk.,True,1,affection,affection,1
4475,520,57,USA,m,married,y,39064,24h,I helped my son fix his motorcycle.,I helped my son fix his motorcycle.,True,1,affection,affection,1
4478,520,57,USA,m,married,y,69852,3m,My dog has behaved all week.,My dog has behaved all week.,True,1,affection,affection,1
4479,520,57,USA,m,married,y,81607,3m,My son has a job interview.,My son has a job interview.,True,1,affection,affection,1
4484,520,57,USA,m,married,y,102684,3m,My son agreed to mow the lawn.,My son agreed to mow the lawn.,True,1,affection,affection,1
4491,522,28,USA,m,married,n,88518,3m,I had famous dim sum with my wife after work for dinner.,I had famous dim sum with my wife after work for dinner.,True,1,affection,affection,1
4498,524,42,USA,m,married,y,44185,24h,"It was the day after spring break, and my son fell asleep very late and had a hard time waking up today. I asked him if he was tired at school and he said he fell asleep in art, but the teacher didn't catch him, which made me smile by the honesty.","It was the day after spring break, and my son fell asleep very late and had a hard time waking up today. I asked him if he was tired at school and he said he fell asleep in art, but the teacher didn't catch him, which made me smile by the honesty.",True,2,affection,affection,1
4499,524,42,USA,m,married,y,89794,3m,"I received a great homemade ""Greatest Dad"" card from my youngest son.","I received a great homemade ""Greatest Dad"" card from my youngest son.",True,1,affection,affection,1
4500,524,42,USA,m,married,y,103414,3m,I dropped my Mom and sister off at the airport and we had a great conversation during the hour long drive.,I dropped my Mom and sister off at the airport and we had a great conversation during the hour long drive.,True,1,affection,affection,1
4502,525,52,USA,m,married,y,52913,24h,My spouse saw the dentist and had a painful cavity repaired.,My spouse saw the dentist and had a painful cavity repaired.,True,1,affection,affection,1
4504,525,52,USA,m,married,y,81389,3m,We went with family and friends to the Drive In to see a movie.,We went with family and friends to the Drive In to see a movie.,True,1,affection,affection,1
4515,527,35,USA,f,married,y,38642,24h,"Showing my son the new Cars 3 trailer, we are super excited!","Showing my son the new Cars 3 trailer, we are super excited!",True,1,affection,affection,1
4522,528,29,USA,f,married,y,56900,24h,Bought new sneakers for my son and they were on sale. ,Bought new sneakers for my son and they were on sale. ,True,1,affection,affection,1
4523,528,29,USA,f,married,y,69634,3m,"I bought my toddler son new toys that he loved including, hot wheels tracks and light up balls.","I bought my toddler son new toys that he loved including, hot wheels tracks and light up balls.",True,1,affection,affection,1
4530,528,29,USA,f,married,y,108484,3m,I purchased some hotwheels tracks on sale for my son. ,I purchased some hotwheels tracks on sale for my son. ,True,1,affection,affection,1
4538,530,56,USA,f,married,y,36112,24h,I was happy that my daughter made it home safely.,I was happy that my daughter made it home safely.,True,1,affection,affection,1
4542,530,56,USA,f,married,y,81333,3m,I got a phone call from my sister.,I got a phone call from my sister.,True,1,affection,affection,1
4543,530,56,USA,f,married,y,127289,24h,I was able to visit family for a couple of days.,I was able to visit family for a couple of days.,True,1,affection,affection,1
4544,531,29,USA,m,married,n,86376,3m,Me and my girlfriend bought a new dog.,Me and my girlfriend bought a new dog.,True,1,affection,affection,1
4545,531,29,USA,m,married,n,88945,3m,I went to my cousin's graduation and it made me happy to see him graduate.,I went to my cousin's graduation and it made me happy to see him graduate.,True,1,affection,affection,1
4547,531,29,USA,m,married,n,100275,3m,Me and my girlfriend visited a local zoo.,Me and my girlfriend visited a local zoo.,True,1,affection,affection,1
4549,531,29,USA,m,married,n,107837,3m,My family got together to eat at a fancy restaurant for my cousin's birthday.,My family got together to eat at a fancy restaurant for my cousin's birthday.,True,1,affection,affection,1
4551,532,233,USA,f,married,y,83245,3m,I bought some nice things for my sister for her birthday/graduation and feel proud I was able to while still saving up money for my own goal.,I bought some nice things for my sister for her birthday/graduation and feel proud I was able to while still saving up money for my own goal.,True,1,affection,achievement,1
4562,534,51,USA,f,married,n,53067,24h,My husband had dinner ready when I got home,My husband had dinner ready when I got home,True,1,affection,affection,1
4563,534,51,USA,f,married,n,109702,24h,I received paperwork regarding In Home Social Services for my mother so hopefully we can get some help through that program,I received paperwork regarding In Home Social Services for my mother so hopefully we can get some help through that program,True,1,affection,affection,1
4585,536,34,USA,f,married,y,96101,3m,I was happy on Friday when I took my sister out for lunch for her birthday. I was able to organize a party with some of her friends at a popular local restaurant. The food was great and everyone had a good time. ,I was happy on Friday when I took my sister out for lunch for her birthday. I was able to organize a party with some of her friends at a popular local restaurant. The food was great and everyone had a good time. ,True,3,affection,affection,1
4608,541,30,USA,m,married,n,39077,24h,Spending time with my sibling and parents. ,Spending time with my sibling and parents. ,True,1,affection,affection,1
4609,541,30,USA,m,married,n,67294,3m,"Watching my dog play at the dog park, months after knee surgery.","Watching my dog play at the dog park, months after knee surgery.",True,1,affection,affection,1
4618,542,52,USA,f,married,y,46433,24h,"My son came over last night and cut my grass which really needed it, the weeds had gotten quite tall.","My son came over last night and cut my grass which really needed it, the weeds had gotten quite tall.",True,1,affection,affection,1
4621,542,52,USA,f,married,y,82248,3m,My dog who was sick has gotten better.,My dog who was sick has gotten better.,True,1,affection,affection,1
4623,542,52,USA,f,married,y,118107,24h,My husband sent flowers to my office.,My husband sent flowers to my office.,True,1,affection,affection,1
4657,549,30,USA,o,married,y,120271,24h,My family and I got to spend some time together.,My family and I got to spend some time together.,True,1,affection,affection,1
4673,552,36,USA,f,married,y,112541,24h,My significant other made dinner instead of myself making it.,My significant other made dinner instead of myself making it.,True,1,affection,affection,1
4719,562,29,USA,f,married,n,58383,3m,When I took my dog to the vet last week and she wasn't seriously sick.  There's just something wrong with her ear,When I took my dog to the vet last week and she wasn't seriously sick.  There's just something wrong with her ear,True,2,affection,affection,1
4724,562,29,USA,f,married,n,99519,3m,Seeing my step daughters softball game,Seeing my step daughters softball game,True,1,affection,affection,1
4747,567,35,USA,m,married,n,72240,3m,"My wife and I had a very nice time together the other day, she just kinda pounced on me and it made my mood go up.","My wife and I had a very nice time together the other day, she just kinda pounced on me and it made my mood go up.",True,1,affection,affection,1
4775,572,52,USA,m,married,n,43215,24h,Watching our two girl dogs run in the fenced in area of the yard playing until they wore themselves out.,Watching our two girl dogs run in the fenced in area of the yard playing until they wore themselves out.,True,1,affection,affection,1
4778,572,52,USA,m,married,n,48022,24h,Having our pups snuggle into me while we were all sleeping.,Having our pups snuggle into me while we were all sleeping.,True,1,affection,affection,1
4779,572,52,USA,m,married,n,86645,3m,My wife surprising me with a little over $100 in gift cards for Amazon to buy whatever I wanted for my birthday.,My wife surprising me with a little over $100 in gift cards for Amazon to buy whatever I wanted for my birthday.,True,1,affection,affection,1
4780,572,52,USA,m,married,n,95340,3m,Watching our dog Gracie thoroughly enjoy Mexican cheese.,Watching our dog Gracie thoroughly enjoy Mexican cheese.,True,1,affection,affection,1
4781,572,52,USA,m,married,n,100377,3m,"My wife getting new clothes when she went on a ""Girls Day Out"" with her mom.","My wife getting new clothes when she went on a ""Girls Day Out"" with her mom.",True,1,affection,affection,1
4782,572,52,USA,m,married,n,111843,24h,Being able to rent and stream a documentary to my niece's TV hundreds of miles away that she wanted to see.,Being able to rent and stream a documentary to my niece's TV hundreds of miles away that she wanted to see.,True,1,affection,affection,1
