,wid,age,country,gender,marital,parenthood,hmid,reflection_period,original_hm,cleaned_hm,modified,num_sentence,ground_truth_category,predicted_category,value
5197,644,26,USA,m,single,n,117892,24h,"Lastly, an event that made me happy was being able to connect with an interviewer and being able to perform well when being interviewed for a temporary summer job.","Lastly, an event that made me happy was being able to connect with an interviewer and being able to perform well when being interviewed for a temporary summer job.",True,1,achievement,achievement,1
5211,649,31,USA,m,single,n,104303,3m,Fixed a plumbing problem that I had put off and felt good about solving problem.,Fixed a plumbing problem that I had put off and felt good about solving problem.,True,1,achievement,achievement,1
5214,649,31,USA,m,single,n,112429,24h,I bought a new chair for my living room.,I bought a new chair for my living room.,True,1,achievement,achievement,1
5243,655,24,USA,m,single,n,70516,3m,The warriors made it to the second round of playoffs.,The warriors made it to the second round of playoffs.,True,1,achievement,achievement,1
5247,655,24,USA,m,single,n,120143,24h,I interviewed for a promotion at work.,I interviewed for a promotion at work.,True,1,achievement,achievement,1
5259,658,28,USA,m,single,n,59558,3m,I got engaged to my girlfriend.,I got engaged to my girlfriend.,True,1,achievement,affection,1
5271,661,20,USA,m,single,n,101717,3m,The most important part of your work is feedback. No matter if it's positive or negative (and then you will know what you have to change) feedback represents a very important instrument for measuring the quality of your work. And a complete feedback that has only the best intentions can transform your day in a very productive and cheerful one.,The most important part of your work is feedback. No matter if it's positive or negative (and then you will know what you have to change) feedback represents a very important instrument for measuring the quality of your work. And a complete feedback that has only the best intentions can transform your day in a very productive and cheerful one.,True,3,achievement,achievement,1
5274,662,52,USA,f,single,n,96768,3m,"I had a meeting this morning with an engineer who is working on a drainage issue for my work, and I felt my knowledge was very helpful in helping in giving him a specific direction for the tasks we expect to be accomplished.","I had a meeting this morning with an engineer who is working on a drainage issue for my work, and I felt my knowledge was very helpful in helping in giving him a specific direction for the tasks we expect to be accomplished.",True,1,achievement,achievement,1
5276,662,52,USA,f,single,n,122706,24h,"I was really happy today when Keurig Company included me in a test market, where I was able to purchase a new, un-marketed coffee maker for $25.","I was really happy today when Keurig Company included me in a test market, where I was able to purchase a new, un-marketed coffee maker for $25.",True,1,achievement,achievement,1
5307,667,26,USA,m,single,n,98957,3m,I had a meeting go very well at work the other day and received a client compliment.,I had a meeting go very well at work the other day and received a client compliment.,True,1,achievement,achievement,1
5308,667,26,USA,m,single,n,107417,3m,"I received high performance review ratings at work, and should get a large raise at the end of the summer.","I received high performance review ratings at work, and should get a large raise at the end of the summer.",True,1,achievement,achievement,1
5312,668,36,USA,m,single,n,91428,3m,I got a job interview from a company I wanted to work for.,I got a job interview from a company I wanted to work for.,True,1,achievement,achievement,1
5314,668,36,USA,m,single,n,102584,3m,I waxed my car.,I waxed my car.,True,1,achievement,achievement,1
5320,669,39,USA,m,single,n,102818,3m,"I was asked to write a book review for an academic journal and, when I learned that it was accepted, I felt a great deal of satisfaction.","I was asked to write a book review for an academic journal and, when I learned that it was accepted, I felt a great deal of satisfaction.",True,1,achievement,achievement,1
5337,672,22,USA,f,single,n,43936,24h,I got an email that I was going to receive a bonus at work for my success on my latest project.,I got an email that I was going to receive a bonus at work for my success on my latest project.,True,1,achievement,achievement,1
5338,672,22,USA,f,single,n,73812,3m,I beat my record time for finishing a 3 mile run.,I beat my record time for finishing a 3 mile run.,True,1,achievement,achievement,1
5344,673,63,USA,f,single,n,53166,24h,I received a coupon.  I was able to buy something online at a discount.  It felt really good to save money.,I received a coupon.  I was able to buy something online at a discount.  It felt really good to save money.,True,3,achievement,achievement,1
5345,673,63,USA,f,single,n,58762,3m,I had a pretty productive day today.  I was able to get a lot done.,I had a pretty productive day today.  I was able to get a lot done.,True,2,achievement,achievement,1
5347,673,63,USA,f,single,n,86209,3m,I went shopping a few weeks ago and bought a new handbag.  I felt really pleased because my old one was falling apart.  I needed to get a new one.,I went shopping a few weeks ago and bought a new handbag.  I felt really pleased because my old one was falling apart.  I needed to get a new one.,True,3,achievement,achievement,1
5350,673,63,USA,f,single,n,103340,3m,I tried making a new recipe.  It was so good!  I liked it and the dish tasted really good.,I tried making a new recipe.  It was so good!  I liked it and the dish tasted really good.,True,3,achievement,achievement,1
5351,673,63,USA,f,single,n,121411,24h,I went to the doctor today for a checkup.  I was very pleased to find that nothing is wrong.,I went to the doctor today for a checkup.  I was very pleased to find that nothing is wrong.,True,2,achievement,achievement,1
5352,674,26,USA,m,single,n,113017,24h,My girlfriend got a job,My girlfriend got a job,True,1,achievement,achievement,1
5359,676,35,USA,m,single,n,71947,3m,"Another event that made me happy was finishing writing my first book. I had worked on it for 5 years, it was a great experience to complete it. ","Another event that made me happy was finishing writing my first book. I had worked on it for 5 years, it was a great experience to complete it. ",True,2,achievement,achievement,1
5360,676,35,USA,m,single,n,117724,24h,Finished painting my living room last night made me happy.,Finished painting my living room last night made me happy.,True,1,achievement,achievement,1
5393,682,23,USA,m,single,n,51980,24h,I finished a project for school and got good remarks on it,I finished a project for school and got good remarks on it,True,1,achievement,achievement,1
5394,682,23,USA,m,single,n,78502,3m,I made a 100 on my test last week ,I made a 100 on my test last week ,True,1,achievement,achievement,1
5395,682,23,USA,m,single,n,94881,3m,I graduated college,I graduated college,True,1,achievement,achievement,1
5396,682,23,USA,m,single,n,101370,3m,I graduated college,I graduated college,True,1,achievement,achievement,1
5405,684,26,USA,m,single,n,46178,24h,"I was able to finish doing some of the things I've been needing to do for awhile (e.g, doing my laundry), and it's nice to finally get the things I needed to do done. ","I was able to finish doing some of the things I've been needing to do for awhile (e.g, doing my laundry), and it's nice to finally get the things I needed to do done. ",True,1,achievement,achievement,1
5406,684,26,USA,m,single,n,47647,24h,I finished a research and data project that took months to complete. ,I finished a research and data project that took months to complete. ,True,1,achievement,achievement,1
5421,687,27,USA,m,single,n,64792,3m,I was able to stop working with a particular co-worker who got on my nerves.,I was able to stop working with a particular co-worker who got on my nerves.,True,1,achievement,achievement,1
5422,687,27,USA,m,single,n,76489,3m,I got a decent return on my taxes this year.,I got a decent return on my taxes this year.,True,1,achievement,achievement,1
5423,687,27,USA,m,single,n,93751,3m,I noticed that I seem to be getting better gas mileage lately.,I noticed that I seem to be getting better gas mileage lately.,True,1,achievement,achievement,1
5433,691,20,USA,m,single,n,76310,3m,I was cast in a short film after a couple weeks of auditioning.,I was cast in a short film after a couple weeks of auditioning.,True,1,achievement,achievement,1
5444,693,25,USA,f,single,y,48226,24h,I finished crocheting a cute jellyfish doll for my friend.,I finished crocheting a cute jellyfish doll for my friend.,True,1,achievement,achievement,1
5445,693,25,USA,f,single,y,52152,24h,I baked some cookies.,I baked some cookies.,True,1,achievement,achievement,1
5446,693,25,USA,f,single,y,98749,3m,I baked a cake.,I baked a cake.,True,1,achievement,achievement,1
5447,693,25,USA,f,single,y,99749,3m,I passed my hardest class with a B and now I never have to take another Economics class for the rest of my life!,I passed my hardest class with a B and now I never have to take another Economics class for the rest of my life!,True,1,achievement,achievement,1
5468,696,35,USA,m,single,n,33377,24h,I got a bonus from my boss based on my performance at work.,I got a bonus from my boss based on my performance at work.,True,1,achievement,achievement,1
5475,697,26,USA,m,single,n,94752,3m,"I was able to exchange money for one of my gpu's, giving me another computer part.","I was able to exchange money for one of my gpu's, giving me another computer part.",True,1,achievement,achievement,1
5522,704,27,USA,m,single,n,32395,24h,I controlled myself at the store and didnt buy junk food.,I controlled myself at the store and didnt buy junk food.,True,1,achievement,achievement,1
5524,704,27,USA,m,single,n,74735,3m,I got to eat an entire pizza by myself because i saved my calories.,I got to eat an entire pizza by myself because i saved my calories.,True,1,achievement,achievement,1
5525,704,27,USA,m,single,n,92229,3m,I finished all 30000 of my tasks I was assigned at work before leaving on vacation!,I finished all 30000 of my tasks I was assigned at work before leaving on vacation!,True,1,achievement,achievement,1
5531,705,19,USA,m,single,n,81205,3m,I created a working yet simple computer game.,I created a working yet simple computer game.,True,1,achievement,achievement,1
5532,705,19,USA,m,single,n,83119,3m,I completed a semester of college.,I completed a semester of college.,True,1,achievement,achievement,1
5534,705,19,USA,m,single,n,116185,24h,I was able to stay up late and get work done.,I was able to stay up late and get work done.,True,1,achievement,achievement,1
5542,707,26,USA,f,single,n,70366,3m,"I cleaned my apartment, and felt very good about the job I did.","I cleaned my apartment, and felt very good about the job I did.",True,1,achievement,achievement,1
5544,708,25,USA,m,single,n,69448,3m,I flashed my Android phone to a new ROM,I flashed my Android phone to a new ROM,True,1,achievement,achievement,1
5545,708,25,USA,m,single,n,81552,3m,A big batch of assignments dropped for me to do.,A big batch of assignments dropped for me to do.,True,1,achievement,achievement,1
5546,708,25,USA,m,single,n,91302,3m,won PS10 on a scratch card.,won PS10 on a scratch card.,True,1,achievement,achievement,1
5548,708,25,USA,m,single,n,126908,24h,I made a somewhat significant milestone in my job.,I made a somewhat significant milestone in my job.,True,1,achievement,achievement,1
5579,713,27,USA,m,single,n,90293,3m,I finished a video game I'd been playing for the past few months off and on. ,I finished a video game I'd been playing for the past few months off and on. ,True,1,achievement,leisure,1
5584,714,29,USA,m,single,n,73845,3m,I began a new diet that I am taking very seriously.,I began a new diet that I am taking very seriously.,True,1,achievement,achievement,1
5585,714,29,USA,m,single,n,81566,3m,Got teeth cleaned at dentist for first time in a long time and had 0 cavities.,Got teeth cleaned at dentist for first time in a long time and had 0 cavities.,True,1,achievement,achievement,1
5611,717,20,USA,m,single,n,38975,24h,I finished an assignment over a week early,I finished an assignment over a week early,True,1,achievement,achievement,1
5612,717,20,USA,m,single,n,55438,24h,I finished all of my assignments for the weekend,I finished all of my assignments for the weekend,True,1,achievement,achievement,1
5614,718,32,USA,m,single,n,64956,3m,When I got a promotion at work and I am now taking on bigger responsibilities and I am also making extra money.  It is a win win for me because I like to work hard.,When I got a promotion at work and I am now taking on bigger responsibilities and I am also making extra money.  It is a win win for me because I like to work hard.,True,2,achievement,achievement,1
5615,718,32,USA,m,single,n,81192,3m,I helped to rescue a dog that was tied to a fence near my house.  I called the animal control to help.,I helped to rescue a dog that was tied to a fence near my house.  I called the animal control to help.,True,2,achievement,achievement,1
5616,718,32,USA,m,single,n,95218,3m,Finding out my little cousin was graduating with a bachelors degree from his university in Washington DC.,Finding out my little cousin was graduating with a bachelors degree from his university in Washington DC.,True,1,achievement,achievement,1
5619,719,22,USA,m,single,n,117454,24h,I found out that one of the stocks I own is worth way more than I thought it would be by this point.,I found out that one of the stocks I own is worth way more than I thought it would be by this point.,True,1,achievement,achievement,1
5630,722,23,USA,m,single,n,47679,24h,I finished a project at work.,I finished a project at work.,True,1,achievement,achievement,1
5633,722,23,USA,m,single,n,96547,3m,I got a new coffee machine.,I got a new coffee machine.,True,1,achievement,achievement,1
5634,722,23,USA,m,single,n,105526,3m,I finished paying off one of my student loans.,I finished paying off one of my student loans.,True,1,achievement,achievement,1
5635,722,23,USA,m,single,n,108909,3m,I started renovating my house.,I started renovating my house.,True,1,achievement,achievement,1
5636,722,23,USA,m,single,n,114329,24h,I resolved an issue with my bank where money had gone missing.,I resolved an issue with my bank where money had gone missing.,True,1,achievement,achievement,1
5661,727,28,USA,m,single,n,110127,24h,I bought a new desk for my home office which desperately needed an upgrade.,I bought a new desk for my home office which desperately needed an upgrade.,True,1,achievement,achievement,1
5766,747,30,USA,m,single,n,69497,3m,I was able to secure office space that I was looking for at a great price and this made me feel very happy and excited. ,I was able to secure office space that I was looking for at a great price and this made me feel very happy and excited. ,True,1,achievement,achievement,1
5767,747,30,USA,m,single,n,79360,3m,I was able to pay off a debt that I had working on for the past year. ,I was able to pay off a debt that I had working on for the past year. ,True,1,achievement,achievement,1
5769,747,30,USA,m,single,n,116402,24h,"I was able to find remote employment positions, that I will be applying to work shortly. ","I was able to find remote employment positions, that I will be applying to work shortly. ",True,1,achievement,achievement,1
5770,748,27,USA,f,single,n,75846,3m,"I finished a project at work, and the manager went out of his way to recognize my work and compliment it in front of the group. ","I finished a project at work, and the manager went out of his way to recognize my work and compliment it in front of the group. ",True,1,achievement,achievement,1
5771,748,27,USA,f,single,n,90818,3m,I had pizza (my favorite food) for dinner tonight to celebrate my promotion at work.,I had pizza (my favorite food) for dinner tonight to celebrate my promotion at work.,True,1,achievement,achievement,1
5799,750,33,USA,m,single,y,95054,3m,I went to my first concert in over 2 decades.,I went to my first concert in over 2 decades.,True,1,achievement,achievement,1
5802,751,21,USA,m,single,n,71869,3m,I was able to get my car fixed.,I was able to get my car fixed.,True,1,achievement,achievement,1
5804,751,21,USA,m,single,n,99829,3m,I can finally drive my car to school on Friday!,I can finally drive my car to school on Friday!,True,1,achievement,achievement,1
5805,752,32,USA,m,single,n,43827,24h,I found out this morning that we would have a little extra money at the end of the month that we were not expecting. ,I found out this morning that we would have a little extra money at the end of the month that we were not expecting. ,True,1,achievement,achievement,1
5807,752,32,USA,m,single,n,95673,3m,I received a Legendary skin last night in Heroes of the Storm from a random loot box which is very rare. ,I received a Legendary skin last night in Heroes of the Storm from a random loot box which is very rare. ,True,1,achievement,achievement,1
5808,752,32,USA,m,single,n,100722,3m,I managed to find an extra floor fan in an unused bedroom hidden away behind some boxes saving me from having to purchase another one due to the extreme heat. ,I managed to find an extra floor fan in an unused bedroom hidden away behind some boxes saving me from having to purchase another one due to the extreme heat. ,True,1,achievement,achievement,1
5866,765,30,USA,m,single,n,109868,24h,I won a perfumery contest last week (identifying notes),I won a perfumery contest last week (identifying notes),True,1,achievement,achievement,1
5871,766,21,USA,m,single,n,47746,24h,Made plans to meet with a business owner for an interview and tour tomorrow.,Made plans to meet with a business owner for an interview and tour tomorrow.,True,1,achievement,achievement,1
5872,766,21,USA,m,single,n,49297,24h,Went to an employer this morning for an application and got interviewed and hired on the spot. I start at 8am tomorrow.,Went to an employer this morning for an application and got interviewed and hired on the spot. I start at 8am tomorrow.,True,2,achievement,achievement,1
5873,766,21,USA,m,single,n,96416,3m,I got a certain medication that I needed.,I got a certain medication that I needed.,True,1,achievement,achievement,1
5877,767,23,USA,m,single,n,76025,3m,I was recognized by my manager for a good job on a call this morning.,I was recognized by my manager for a good job on a call this morning.,True,1,achievement,achievement,1
5879,767,23,USA,m,single,n,96498,3m,I got a third round interview at my dream company.,I got a third round interview at my dream company.,True,1,achievement,achievement,1
5889,771,20,USA,m,single,n,74814,3m,Doing really well on a group project that took a long time.,Doing really well on a group project that took a long time.,True,1,achievement,achievement,1
5891,771,20,USA,m,single,n,99544,3m,Purchasing a new driver for golf.,Purchasing a new driver for golf.,True,1,achievement,achievement,1
5892,771,20,USA,m,single,n,102523,3m,Getting my first full time job for the summer.,Getting my first full time job for the summer.,True,1,achievement,achievement,1
5921,775,26,USA,f,single,n,98286,3m,I went shopping and found everything I needed at one place.,I went shopping and found everything I needed at one place.,True,1,achievement,achievement,1
5922,775,26,USA,f,single,n,101334,3m,I donated money to a charity.,I donated money to a charity.,True,1,achievement,achievement,1
5956,781,22,USA,m,single,n,78426,3m,They had everything I was looking for one day when I went shopping and everything was super fast and I had great customer service as well! ,They had everything I was looking for one day when I went shopping and everything was super fast and I had great customer service as well! ,True,1,achievement,achievement,1
5963,781,22,USA,m,single,n,121724,24h,I got new guitar strings that my guitar desperately needed,I got new guitar strings that my guitar desperately needed,True,1,achievement,achievement,1
5966,783,27,USA,f,single,y,68643,3m,"Today, I finally broke down and made a much needed appointment.","Today, I finally broke down and made a much needed appointment.",True,1,achievement,achievement,1
5968,783,27,USA,f,single,y,112495,24h,"Today, I went to the dentist for the first time in almost decade and minus a few cavities, my teeth have been in great shape and it's reassuring to know that all of my silly ""crunchy"" habits have been quite useful.","Today, I went to the dentist for the first time in almost decade and minus a few cavities, my teeth have been in great shape and it's reassuring to know that all of my silly ""crunchy"" habits have been quite useful.",True,1,achievement,achievement,1
5975,785,23,USA,m,single,n,76259,3m,I bought a delicious new bourbon. ,I bought a delicious new bourbon. ,True,1,achievement,achievement,1
5981,786,30,USA,f,single,n,43857,24h,I finished all my grocery shopping for the week this afternoon.,I finished all my grocery shopping for the week this afternoon.,True,1,achievement,achievement,1
5983,786,30,USA,f,single,n,54654,24h,I found a dollar on the ground on my way inside my house.,I found a dollar on the ground on my way inside my house.,True,1,achievement,achievement,1
5987,787,24,USA,m,single,n,79646,3m,I was promoted at work,I was promoted at work,True,1,achievement,achievement,1
5988,787,24,USA,m,single,n,91320,3m,I received a promotion to assistant manager at work.,I received a promotion to assistant manager at work.,True,1,achievement,achievement,1
5989,788,29,USA,m,single,n,30787,24h,I'm finally about to buy a car. My savings just got their few days ago. Now I'm looking. It's exciting.,I'm finally about to buy a car. My savings just got their few days ago. Now I'm looking. It's exciting.,True,4,achievement,achievement,1
5993,789,42,USA,m,single,n,94928,3m,I felt happy when my company won an award for the best customer service in our city.,I felt happy when my company won an award for the best customer service in our city.,True,1,achievement,achievement,1
6005,792,28,USA,f,single,n,61590,3m,I am finally able and have time to make dinner.,I am finally able and have time to make dinner.,True,1,achievement,achievement,1
6007,792,28,USA,f,single,n,85795,3m,I left my house late today and still made it on time to my job!,I left my house late today and still made it on time to my job!,True,1,achievement,achievement,1
6008,792,28,USA,f,single,n,105242,3m,I sold my table.,I sold my table.,True,1,achievement,achievement,1
6015,794,37,USA,m,single,n,57471,24h,Got a new high score in Tetris.,Got a new high score in Tetris.,True,1,achievement,achievement,1
6016,794,37,USA,m,single,n,62223,3m,I bought a new cellphone.,I bought a new cellphone.,True,1,achievement,achievement,1
6018,794,37,USA,m,single,n,112870,24h,My ebay auction item sold right away.,My ebay auction item sold right away.,True,1,achievement,achievement,1
6046,800,34,USA,m,single,n,97911,3m,I finished all of my work at my day job and my classwork so I have nothing to worry about before my upcoming trip for the weekend.,I finished all of my work at my day job and my classwork so I have nothing to worry about before my upcoming trip for the weekend.,True,1,achievement,achievement,1
6047,801,27,USA,m,single,n,62808,3m,I sold a stock for a modest 10% gain.,I sold a stock for a modest 10% gain.,True,1,achievement,achievement,1
6048,801,27,USA,m,single,n,69045,3m,I completed all my work assignments early and was able to leave earlier than normal.,I completed all my work assignments early and was able to leave earlier than normal.,True,1,achievement,achievement,1
6050,801,27,USA,m,single,n,78974,3m,"In a game of volleyball, I jumped for a spike that I didn't think I would be able to get to, but was able to spike it instead, and got a winner off of it.","In a game of volleyball, I jumped for a spike that I didn't think I would be able to get to, but was able to spike it instead, and got a winner off of it.",True,1,achievement,achievement,1
6052,801,27,USA,m,single,n,117532,24h,I woke up this morning without the use of my alarm.,I woke up this morning without the use of my alarm.,True,1,achievement,achievement,1
6058,803,28,USA,m,single,n,102154,3m,I've reached a new threshold in my weight loss.,I've reached a new threshold in my weight loss.,True,1,achievement,achievement,1
6063,804,25,USA,m,single,n,94526,3m,Getting a coupon for a free burger at mcdonalds.,Getting a coupon for a free burger at mcdonalds.,True,1,achievement,achievement,1
6067,804,25,USA,m,single,n,119166,24h,Being told I have a chance for promotion at work.,Being told I have a chance for promotion at work.,True,1,achievement,achievement,1
6068,805,35,USA,m,single,n,74922,3m,I found a new job.,I found a new job.,True,1,achievement,achievement,1
6069,805,35,USA,m,single,n,76918,3m,I was able to beat a difficult video game.,I was able to beat a difficult video game.,True,1,achievement,achievement,1
6070,805,35,USA,m,single,n,86038,3m,I was nominated for an award.,I was nominated for an award.,True,1,achievement,achievement,1
6097,813,25,USA,m,single,n,74993,3m,I got 100% on my quiz this week,I got 100% on my quiz this week,True,1,achievement,achievement,1
6100,813,25,USA,m,single,n,93937,3m,I became happy after getting a perfect 10/10 on my quiz in school.,I became happy after getting a perfect 10/10 on my quiz in school.,True,1,achievement,achievement,1
6101,813,25,USA,m,single,n,107109,3m,I was happy after I worked 2 8 hour shifts at work and survived through it without messing up too much. ,I was happy after I worked 2 8 hour shifts at work and survived through it without messing up too much. ,True,1,achievement,achievement,1
6102,813,25,USA,m,single,n,108109,3m,I was happy when I started to work on my school work early today.,I was happy when I started to work on my school work early today.,True,1,achievement,achievement,1
6103,813,25,USA,m,single,n,122801,24h,I was happy when I found out I got 88% on my quiz today.,I was happy when I found out I got 88% on my quiz today.,True,1,achievement,achievement,1
6104,814,50,USA,f,single,n,101428,3m,actually being able to complete the hit,actually being able to complete the hit,True,1,achievement,achievement,1
6106,814,50,USA,f,single,n,114873,24h,I got all the laundry done! ,I got all the laundry done! ,True,1,achievement,achievement,1
6130,820,24,USA,m,single,n,28198,24h,I finished my paper for my college class.,I finished my paper for my college class.,True,1,achievement,achievement,1
6132,820,24,USA,m,single,n,69974,3m,Set a personal record for my weight lifting.,Set a personal record for my weight lifting.,True,1,achievement,achievement,1
6133,820,24,USA,m,single,n,88070,3m,Being able to plan a vacation for the summer,Being able to plan a vacation for the summer,True,1,achievement,achievement,1
6134,820,24,USA,m,single,n,103688,3m,Completing a new record for my weightlifting,Completing a new record for my weightlifting,True,1,achievement,achievement,1
6136,820,24,USA,m,single,n,128285,24h,Started to take up photography again.,Started to take up photography again.,True,1,achievement,achievement,1
6175,825,29,USA,m,single,n,96627,3m,I planted over 300 flower seeds (almost individually) and cannot wait for them to start germinating and have a beautiful garden.,I planted over 300 flower seeds (almost individually) and cannot wait for them to start germinating and have a beautiful garden.,True,1,achievement,achievement,1
6178,826,27,USA,f,single,y,79279,3m,i got my car fixed so I can drive it again.,i got my car fixed so I can drive it again.,True,1,achievement,achievement,1
6186,828,49,USA,m,single,n,85272,3m,My third test came back and my blood sugar levels are still under control with no meds.,My third test came back and my blood sugar levels are still under control with no meds.,True,1,achievement,achievement,1
6204,835,30,USA,m,single,n,47016,24h,I finished a long term role-playing game I was running.,I finished a long term role-playing game I was running.,True,1,achievement,achievement,1
6207,835,30,USA,m,single,n,54408,24h,I got approved for my health insurance.,I got approved for my health insurance.,True,1,achievement,achievement,1
6222,838,37,USA,f,single,n,57669,24h,I found out yesterday that I am getting a raise at my job and it is a pretty significant raise.,I found out yesterday that I am getting a raise at my job and it is a pretty significant raise.,True,1,achievement,achievement,1
6224,838,37,USA,f,single,n,81778,3m,I solved a very difficult problem at work and my solution was widely praised.,I solved a very difficult problem at work and my solution was widely praised.,True,1,achievement,achievement,1
6226,838,37,USA,f,single,n,107014,3m,I found out that there was an opening at an organization I've been wanting to get a job and for a while that I am qualified for.,I found out that there was an opening at an organization I've been wanting to get a job and for a while that I am qualified for.,True,1,achievement,achievement,1
6228,839,41,USA,m,single,n,62703,3m,I changed my dogs medicines and he is doing better. ,I changed my dogs medicines and he is doing better. ,True,1,achievement,achievement,1
6230,839,41,USA,m,single,n,103649,3m,I made fried chicken. ,I made fried chicken. ,True,1,achievement,achievement,1
6237,842,27,USA,m,single,n,74685,3m,I ordered some protein powder and finally actualized on taking my nutrition seriously.,I ordered some protein powder and finally actualized on taking my nutrition seriously.,True,1,achievement,achievement,1
6238,842,27,USA,m,single,n,76681,3m,I made a fantastic sandwich yesterday.,I made a fantastic sandwich yesterday.,True,1,achievement,leisure,1
6248,844,19,USA,m,single,n,91883,3m,I took a lot of deliveries at work today and I made some really good money for a weekday (usually slow). I work at an Italian Restaurant.,I took a lot of deliveries at work today and I made some really good money for a weekday (usually slow). I work at an Italian Restaurant.,True,2,achievement,achievement,1
6258,846,28,USA,f,single,y,113650,24h,I received a compliment at work.,I received a compliment at work.,True,1,achievement,achievement,1
6261,847,23,USA,m,single,n,66049,3m,Won 50$,Won 50$,True,1,achievement,achievement,1
6262,847,23,USA,m,single,n,70936,3m,I was able to regain my strength in the gym after taking a month off.,I was able to regain my strength in the gym after taking a month off.,True,1,achievement,achievement,1
6263,847,23,USA,m,single,n,73852,3m,I was relieved of my duty and no longer had to work.,I was relieved of my duty and no longer had to work.,True,1,achievement,achievement,1
6271,850,24,USA,m,single,n,89618,3m,Disassembled and put back together a aircraft engine that ran with very little problems at school.,Disassembled and put back together a aircraft engine that ran with very little problems at school.,True,1,achievement,achievement,1
6272,850,24,USA,m,single,n,98608,3m,Got to work on one of the bigger planes in school to get it ready to run,Got to work on one of the bigger planes in school to get it ready to run,True,1,achievement,achievement,1
6273,850,24,USA,m,single,n,121488,24h,Prepared a turbine engine to run today so it should be ready for next week.,Prepared a turbine engine to run today so it should be ready for next week.,True,1,achievement,achievement,1
6282,853,26,USA,m,single,n,58598,3m,I was accepted to a program that was prestigious and could open doors for me,I was accepted to a program that was prestigious and could open doors for me,True,1,achievement,achievement,1
6290,854,29,USA,f,single,n,99255,3m,Finding out my ancestry dna results will be coming soon.,Finding out my ancestry dna results will be coming soon.,True,1,achievement,achievement,1
6292,854,29,USA,f,single,n,102534,3m,Getting complimented at work by my boss for a project I finished.,Getting complimented at work by my boss for a project I finished.,True,1,achievement,achievement,1
6293,854,29,USA,f,single,n,118068,24h,I cleaned the kitchen and felt accomplished.,I cleaned the kitchen and felt accomplished.,True,1,achievement,achievement,1
6303,857,27,USA,f,single,n,91065,3m,I got my  projects done ,I got my  projects done ,True,1,achievement,achievement,1
6304,857,27,USA,f,single,n,101483,3m,I saved some money,I saved some money,True,1,achievement,achievement,1
6317,860,45,USA,f,single,n,70599,3m,It made me happy to receive good news from a source that I needed to accomplish a very important challenge that will achenge my life.,It made me happy to receive good news from a source that I needed to accomplish a very important challenge that will change my life.,False,1,achievement,achievement,1
6318,860,45,USA,f,single,n,113985,24h,Planning of my work and organizing it.,Planning of my work and organizing it.,True,1,achievement,achievement,1
6326,862,23,USA,f,single,n,97780,3m,I recently acquired a rare fox fur I had been wanting for a long time.,I recently acquired a rare fox fur I had been wanting for a long time.,True,1,achievement,achievement,1
6329,863,21,USA,f,single,n,55415,24h,I was happy when my rib pain stopped. I was in so much pain for the last 3 days.,I was happy when my rib pain stopped. I was in so much pain for the last 3 days.,True,2,achievement,achievement,1
6331,863,21,USA,f,single,n,67855,3m,I was happy when I began working online and actually making money.,I was happy when I began working online and actually making money.,True,1,achievement,achievement,1
6343,867,28,USA,m,single,n,78448,3m,I was offered a scholarship for my grad program.,I was offered a scholarship for my grad program.,True,1,achievement,achievement,1
6344,867,28,USA,m,single,n,82065,3m,Received my white coat at a ceremony for my health science graduate program.,Received my white coat at a ceremony for my health science graduate program.,True,1,achievement,achievement,1
6357,870,33,USA,m,single,n,47105,24h,I went to the grocery store and helped an old lady with carrying some of her groceries to her car when she was leaving. ,I went to the grocery store and helped an old lady with carrying some of her groceries to her car when she was leaving. ,True,1,achievement,bonding,1
6363,872,32,USA,f,single,n,74485,3m,I passed my English class with a B and that made me happy to be done with it and to have gotten a good grade.,I passed my English class with a B and that made me happy to be done with it and to have gotten a good grade.,True,1,achievement,achievement,1
6365,872,32,USA,f,single,n,110031,24h,Laughing so hard when telling a story I can barely make it to the end.When I've finished a really good book and I just put it down on my lap and stare into space for a couple minutes because I need to collect myself and return to reality.,Laughing so hard when telling a story I can barely make it to the end.When I've finished a really good book and I just put it down on my lap and stare into space for a couple minutes because I need to collect myself and return to reality.,True,1,achievement,achievement,1
6428,878,28,USA,m,single,n,105871,3m,My girlfriend found a job that she loves. ,My girlfriend found a job that she loves. ,True,1,achievement,affection,1
6429,878,28,USA,m,single,n,119002,24h,Finally getting an interview for a decent job.,Finally getting an interview for a decent job.,True,1,achievement,achievement,1
6432,880,25,USA,f,single,n,41846,24h,I cleaned a good chunk of my house today.,I cleaned a good chunk of my house today.,True,1,achievement,achievement,1
6439,880,25,USA,f,single,n,112879,24h,Completing this hit makes me happy as I reflect on all the positive things in my life!,Completing this hit makes me happy as I reflect on all the positive things in my life!,True,1,achievement,achievement,1
6441,881,44,USA,f,single,n,117945,24h,I received an unexpected coupon when I bought some things at a nearby store.,I received an unexpected coupon when I bought some things at a nearby store.,True,1,achievement,achievement,1
6447,883,39,USA,m,single,n,83036,3m,"I scored an ounce and a half! It was supposed to be 2 but hey, this is still awesome!","I scored an ounce and a half! It was supposed to be 2 but hey, this is still awesome!",True,2,achievement,achievement,1
